feature,modality,gene_symbol,selection_reason,training_variance
mut::damaging::KMT2B (9757),mutations,KMT2B,variance,0.1108018308877945
mut::damaging::FSIP2 (401024),mutations,FSIP2,variance,0.10903594642877579
mut::damaging::INPPL1 (3636),mutations,INPPL1,variance,0.10807817429304123
mut::damaging::MSH6 (2956),mutations,MSH6,variance,0.1070006862282753
mut::damaging::FAT1 (2195),mutations,FAT1,variance,0.1058034747838974
mut::damaging::TRMT9B (57604),mutations,TRMT9B,variance,0.1055939644575119
mut::damaging::RNF43 (54894),mutations,RNF43,variance,0.10367842763662338
mut::damaging::LRP1B (53353),mutations,LRP1B,variance,0.09990721940994263
mut::damaging::CCDST (112268240),mutations,CCDST,variance,0.0984107032418251
mut::damaging::LINC02138 (400558),mutations,LINC02138,variance,0.09679447114467621
mut::damaging::CCDC73 (493860),mutations,CCDC73,variance,0.09592649340629578
mut::damaging::CSMD3 (114788),mutations,CSMD3,variance,0.09478913992643356
mut::damaging::MSH3 (4437),mutations,MSH3,variance,0.09353207051753998
mut::damaging::ELOA (6924),mutations,ELOA,variance,0.09257429838180542
mut::damaging::ARID1B (57492),mutations,ARID1B,variance,0.09257429838180542
mut::hotspot::NFE2L2 (4780),mutations,NFE2L2,variance,0.09257429838180542
mut::damaging::CREBBP (1387),mutations,CREBBP,variance,0.09149681031703949
mut::damaging::ZFHX3 (463),mutations,ZFHX3,variance,0.09149681031703949
mut::damaging::APOB (338),mutations,APOB,variance,0.09149681031703949
mut::damaging::PCLO (27445),mutations,PCLO,variance,0.09149681031703949
mut::damaging::USP26 (83844),mutations,USP26,variance,0.09009008854627609
mut::damaging::MACF1 (23499),mutations,MACF1,variance,0.08919218182563782
mut::damaging::SZT2 (23334),mutations,SZT2,variance,0.08919218182563782
mut::damaging::WNK2 (65268),mutations,WNK2,variance,0.08919218182563782
mut::damaging::SYNE2 (23224),mutations,SYNE2,variance,0.08817455172538757
mut::damaging::DNAH9 (1770),mutations,DNAH9,variance,0.08578012883663177
mut::damaging::AFDN (4301),mutations,AFDN,variance,0.08578012883663177
mut::hotspot::CTNNB1 (1499),mutations,CTNNB1,variance,0.08578012883663177
mut::damaging::DNAH5 (1767),mutations,DNAH5,variance,0.08482236415147781
mut::damaging::DST (667),mutations,DST,variance,0.08482236415147781
mut::damaging::AXIN1 (8312),mutations,AXIN1,variance,0.08311633765697479
mut::damaging::RYR2 (6262),mutations,RYR2,variance,0.08254766464233398
mut::damaging::CCDC168 (643677),mutations,CCDC168,variance,0.08233815431594849
mut::damaging::CFAP65 (255101),mutations,CFAP65,variance,0.08233815431594849
mut::damaging::CSMD1 (64478),mutations,CSMD1,variance,0.08233815431594849
mut::damaging::NOTCH3 (4854),mutations,NOTCH3,variance,0.08144024759531021
mut::hotspot::SMAD4 (4089),mutations,SMAD4,variance,0.07958456873893738
mut::damaging::NEB (4703),mutations,NEB,variance,0.07928526401519775
mut::damaging::NOTCH1 (4851),mutations,NOTCH1,variance,0.07886624336242676
mut::damaging::NRK (203447),mutations,NRK,variance,0.07886624336242676
mut::hotspot::APC (324),mutations,APC,variance,0.07886624336242676
mut::damaging::BAHCC1 (57597),mutations,BAHCC1,variance,0.07802819460630417
mut::damaging::ATXN7 (6314),mutations,ATXN7,variance,0.07802819460630417
mut::damaging::PIK3R1 (5295),mutations,PIK3R1,variance,0.07802819460630417
mut::damaging::SYNE1 (23345),mutations,SYNE1,variance,0.07802819460630417
mut::damaging::LRRK2 (120892),mutations,LRRK2,variance,0.07707042247056961
mut::damaging::WDTC1 (23038),mutations,WDTC1,variance,0.07536440342664719
mut::damaging::BCOR (54880),mutations,BCOR,variance,0.07536440342664719
mut::damaging::CUBN (8029),mutations,CUBN,variance,0.07458621263504028
