feature,mean_abs_shap
expression__expr::LSR (51599),0.0
expression__expr::GYPC (2995),0.0
expression__expr::ANPEP (290),0.0
expression__expr::TSTD1 (100131187),0.0
expression__expr::S100A1 (6271),0.0
expression__expr::LY6K (54742),0.0
expression__expr::LOX (4015),0.0
expression__expr::CPA4 (51200),0.0
expression__expr::GDF15 (9518),0.0
expression__expr::PTGES (9536),0.0
expression__expr::CTHRC1 (115908),0.0
expression__expr::PDLIM4 (8572),0.0
expression__expr::TNFSF10 (8743),0.0
expression__expr::TUSC3 (7991),0.0
expression__expr::MME (4311),0.0
expression__expr::SRPX (8406),0.0
expression__expr::AP1M2 (10053),0.0
expression__expr::CSAG1 (158511),0.0
expression__expr::PTX3 (5806),0.0
expression__expr::TFF1 (7031),0.0
expression__expr::CADM1 (23705),0.0
expression__expr::TUBA1A (7846),0.0
expression__expr::MIA (8190),0.0
expression__expr::PRSS22 (64063),0.0
expression__expr::PMEL (6490),0.0
expression__expr::SERPINB2 (5055),0.0
expression__expr::ARHGDIB (397),0.0
expression__expr::RARRES2 (5919),0.0
expression__expr::MAGEA2 (4101),0.0
expression__expr::CCN2 (1490),0.0
expression__expr::TNFRSF6B (8771),0.0
expression__expr::CEACAM6 (4680),0.0
expression__expr::SERPINA1 (5265),0.0
expression__expr::AQP3 (360),0.0
expression__expr::TMPRSS4 (56649),0.0
expression__expr::KRT13 (3860),0.0
expression__expr::CDA (978),0.0
expression__expr::KYNU (8942),0.0
expression__expr::COL11A1 (1301),0.0
expression__expr::COL8A1 (1295),0.0
expression__expr::MEST (4232),0.0
expression__expr::EMP3 (2014),0.0
